序号,ID,商品,现价,原价,商品网址,店铺,店铺网址,图片网址,数量,分类,rule_id,seller_id,app_id,application_id,sid
54,523357264974,御寒神器首选百搭毛呢外套,180.00,399.00,//item.taobao.com/item.htm?id=523357264974,Smile原创,//lizhijiayou2013.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1F1WqKFXXXXbYXVXXSutbFXXX.jpg,11844,nvzhuang,1206620,755976184,5265601765944,5265601765944,238785
55,524419515863,冬装韩版中长款羊毛呢大衣,174.00,499.00,//item.taobao.com/item.htm?id=524419515863,WEROKEE,//shop114148310.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1RSnrKFXXXXa4XXXXSutbFXXX.jpg,77089,nvzhuang,1206620,2267471976,5284223025944,5284223025944,238785
56,524246335127,中长款大翻领毛呢外套,228.00,988.00,//item.taobao.com/item.htm?id=524246335127,骆汐品牌店,//lxppd.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1u6dQKVXXXXaGXXXXSutbFXXX.jpg,109738,nvzhuang,1206620,2137411629,5250707895944,5250707895944,238785
57,524762858983,冬天的颜色 毛呢长款大衣,429.80,614.00,//item.taobao.com/item.htm?id=524762858983,TKSTYLE,//shop36767380.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1P9ERKFXXXXawXXXXSutbFXXX.jpg,1162,nvzhuang,1206620,109859684,5333305465944,5333305465944,238785
58,524248185331,时尚西装领口袋棉衣棉服,149.90,366.00,//item.taobao.com/item.htm?id=524248185331,西瓜家快时尚潮店,//shop34283080.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1qcy0KFXXXXatXFXXSutbFXXX.jpg,7824,nvzhuang,1206638,56651352,5272248165944,5272248165944,238793
59,524611606233,上品行显瘦毛领中长款棉衣,199.00,398.00,//item.taobao.com/item.htm?id=524611606233,上品行,//shop34396261.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1_66iKFXXXXctXFXXSutbFXXX.jpg,15153,nvzhuang,1206638,13261504,5289964575944,5289964575944,238793
60,524494598921,明星同款羽绒棉衣女长款,99.00,568.00,//item.taobao.com/item.htm?id=524494598921,MDXY,//aimanchen.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1LU13KFXXXXc5XXXXSutbFXXX.jpg,15644,nvzhuang,1206638,407711568,5272721975944,5272721975944,238793
61,524520243242,过膝棉衣长款大衣新款爆款,159.00,599.00,//item.taobao.com/item.htm?id=524520243242,姐妹爱时尚女装,//jiemeiai.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1WojnKFXXXXXwaXXXSutbFXXX.jpg,145352,nvzhuang,1206638,1073243564,5296368805944,5296368805944,238793
62,524244791653,茧型中长款 无领棉服外套,238.00,499.00,//item.taobao.com/item.htm?id=524244791653,九月陌墨,//shop71193535.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1KDa7KFXXXXc3XpXXSutbFXXX.jpg,36244,nvzhuang,1206638,856979316,5277566565944,5277566565944,238793
63,524186571137,真毛领连帽A版修身棉衣,199.00,570.00,//item.taobao.com/item.htm?id=524186571137,沐乃衣,//shop33495993.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1LfFZKFXXXXa9XpXXSutbFXXX.jpg,8577,nvzhuang,1206638,14197825,5251161745944,5251161745944,238793
64,523940740890,新款真毛领羊羔毛皮衣外套,180.00,436.00,//item.taobao.com/item.htm?id=523940740890,时尚第衣精品女装,//997755.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1HP9RKFXXXXcfXFXXSutbFXXX.jpg,16891,nvzhuang,1206638,203034691,5272025675944,5272025675944,238793
65,524650135785,M字母大毛领工装棉服,259.99,519.98,//item.taobao.com/item.htm?id=524650135785,梦梦家,//shop36013903.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1Bha4KVXXXXcOXVXXSutbFXXX.jpg,2855,nvzhuang,1206638,71460541,5305908575944,5305908575944,238793
66,524509953790,高端中长款外套棉衣,299.00,999.00,//item.taobao.com/item.htm?id=524509953790,小谷粒,//shop65626181.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1ubmyKFXXXXbuXFXXSutbFXXX.jpg,88011,nvzhuang,1206638,380101244,5265601515944,5265601515944,238793
67,524584174316,韩版过膝加厚棉衣,139.00,598.00,//item.taobao.com/item.htm?id=524584174316,媛素家,//shop112465575.taobao.com/,//gw.alicdn.com/bao/uploaded/TB18d6RKFXXXXbAXFXXSutbFXXX.jpg,9196805,nvzhuang,1206638,2189536554,5303984905944,5303984905944,238793
68,524241436297,新款中长款修身棉衣大衣,121.90,350.00,//item.taobao.com/item.htm?id=524241436297,柔柔家,//rorococo.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1BuHwKFXXXXbeXVXXSutbFXXX.jpg,20065,nvzhuang,1206638,72126688,5299742225944,5299742225944,238793
69,523999701832,加绒加厚麂皮羊羔绒外套,187.00,536.00,//item.taobao.com/item.htm?id=523999701832,巴掌家,//shop58972994.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1wDPbKFXXXXXKXFXXSutbFXXX.jpg,64582,nvzhuang,1206638,46204875,5284381005944,5284381005944,238793
70,523353537615,韩版大毛领羽绒棉服,166.60,398.00,//item.taobao.com/item.htm?id=523353537615,清秀天使,//qinxiu-angel.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1zGW9KFXXXXbOXFXXSutbFXXX.jpg,6534,nvzhuang,1206638,44826620,5283483145944,5283483145944,238793
71,524353217865,黄一琳 穿三季的牛仔棉服,349.00,499.00,//item.taobao.com/item.htm?id=524353217865,黄一琳私服品牌,//shop120024108.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1.pJ7KVXXXXbMXVXXSutbFXXX.jpg,264,nvzhuang,1206638,893954391,5276048555944,5276048555944,238793
72,524757169377,机车款美利奴皮毛一体,3990.00,5990.00,//item.taobao.com/item.htm?id=524757169377,CC,//shop37110174.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1IC6_KFXXXXcBXVXXSutbFXXX.jpg,126,nvzhuang,1206638,66041856,5326247795944,5326247795944,238793
73,523974583896,QIQI皮草水貂整貂大衣,15960.00,23800.00,//item.taobao.com/item.htm?id=523974583896,QiQi皮草,//shop67270223.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1yKN6KFXXXXcGXpXXSutbFXXX.jpg,296,nvzhuang,1206638,690169318,5253420075944,5253420075944,238793
74,524284722129,中长款九分袖狐狸毛棉服,299.00,678.00,//item.taobao.com/item.htm?id=524284722129,MISS FLY,//shop57092999.taobao.com/,//gw.alicdn.com/bao/uploaded/TB19jfmKVXXXXbzXFXXSutbFXXX.jpg,2316,nvzhuang,1206638,180424203,5267305975944,5267305975944,238793
75,524468616993,羊羔毛宽松中长款外套,398.00,569.00,//item.taobao.com/item.htm?id=524468616993,妮大大私服店,//shop117055262.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1dy8BKVXXXXaHXXXXSutbFXXX.jpg,43,nvzhuang,1206638,2457988518,5366182765944,5366182765944,238793
76,524544709059,韩版情侣款连帽保暖棉服,339.50,699.00,//item.taobao.com/item.htm?id=524544709059,ISSDM潮店,//shop60205158.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1w1bKKFXXXXbAXpXXSutbFXXX.jpg,11278,nvzhuang,1206638,356292901,5298002335944,5298002335944,238793
77,524552251955,高领加厚 保暖显瘦毛衣,88.00,799.00,//item.taobao.com/item.htm?id=524552251955,依薇丽莎,//shop104239526.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1Wt2sKFXXXXcUXpXXSutbFXXX.jpg,98490,nvzhuang,1206695,1699194731,5289545795944,5289545795944,238810
78,524574662143,超温馨雪花毛衣,118.30,169.00,//item.taobao.com/item.htm?id=524574662143,Sunny33,//shop68440633.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1f59ZKFXXXXaaXVXXSutbFXXX.jpg,3927,nvzhuang,1206695,131077237,5280026665944,5280026665944,238810
79,524033016317,加厚中长款针织打底衫女,55.00,199.00,//item.taobao.com/item.htm?id=524033016317,歌倍尚品牌直供,//shop103127629.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1_o6WKFXXXXXeXFXXSutbFXXX.jpg,7231,nvzhuang,1206695,1640678487,5307301225944,5307301225944,238810
